0.0.0      2015-05-22
0.0.0      2015-05-29
0.0.0      2015-05-30
0.0.0      2015-06-09
0.0.9      2015-06-25
0.0.22     2015-06-29
0.0.27     2015-06-30
0.0.35     2015-07-03
0.0.46     2015-07-07
0.0.50     2015-07-08
0.0.56     2015-07-10
0.0.64     2015-07-14
0.0.68     2015-07-15
0.0.70     2015-07-16
0.0.73     2015-07-18
0.0.77     2015-07-20
0.0.80     2015-07-21
0.0.82     2015-07-22
0.0.84     2015-07-23
0.0.85     2015-07-26
0.0.86     2015-07-30
0.0.87     2015-07-31
0.0.91     2015-08-01
0.0.95     2015-08-02
0.0.97     2015-08-04
0.0.99     2015-08-04
0.0.101    2015-08-06
0.0.103    2015-08-07
0.0.104    2015-08-08
0.0.105    2015-08-08
0.0.107    2015-08-10
0.0.110    2015-08-12
0.0.116    2015-08-12
0.0.120    2015-08-14
0.0.121    2015-08-14
0.0.124    2015-08-16
0.0.126    2015-08-17
0.0.129    2015-08-18
0.0.131    2015-08-19
0.0.132    2015-08-20
0.0.133    2015-08-21
0.0.136    2015-08-22
0.0.138    2015-08-23
0.0.140    2015-08-25
0.0.143    2015-08-27
0.0.144    2015-08-28
0.0.145    2015-08-28
0.0.146    2015-08-29
0.0.149    2015-08-30
0.0.150    2015-08-31
0.0.151    2015-09-01
0.0.152    2015-09-02
0.0.153    2015-09-13
0.0.154    2015-09-15
0.0.155    2015-09-16
0.0.156    2015-09-18
0.0.157    2015-09-20
0.0.158    2015-09-20
0.0.159    2015-09-21
0.0.159    2015-09-21
0.0.159    2015-09-21
0.0.166    2015-09-24
0.0.169    2015-09-27
0.0.173    2015-09-30
0.0.175    2015-10-01
0.0.182    2015-10-04
0.0.185    2015-10-06
0.0.190    2015-10-07
0.0.193    2015-10-09
0.0.195    2015-10-10
0.0.198    2015-10-12
0.0.199    2015-10-13
0.0.200    2015-10-14
0.0.201    2015-10-15
0.0.202    2015-10-16
0.0.204    2015-10-18
0.0.207    2015-10-19
0.0.208    2015-10-20
0.0.209    2015-10-21
0.0.210    2015-10-22
0.0.211    2015-10-23
0.0.213    2015-10-25
0.0.216    2015-11-01
0.0.218    2015-11-02
0.0.219    2015-11-03
0.0.225    2015-11-09
0.0.226    2015-11-09
0.0.227    2015-11-10
0.0.228    2015-11-11
0.0.231    2015-11-29
0.0.232    2015-12-01
0.0.238    2015-12-04
0.0.239    2015-12-08
0.0.247    2015-12-14
0.0.250    2015-12-15
0.0.255    2015-12-210.0.257    2015-12-220.0.259    2015-12-280.0.260    2015-12-280.0.261    2015-12-290.0.262    2015-12-300.0.263    2015-12-310.0.264    2016-01-020.0.265    2016-01-020.0.266    2016-01-030.0.267    2016-01-050.0.268    2016-01-060.0.269    2016-01-070.0.270    2016-01-080.0.271    2016-01-090.0.272    2016-01-100.0.273    2016-01-110.0.274    2016-01-110.0.275    2016-01-120.0.276    2016-01-130.0.277    2016-01-140.0.278    2016-01-150.0.279    2016-01-170.0.280    2016-01-190.0.281    2016-01-190.0.282    2016-01-210.0.283    2016-01-210.0.284    2016-01-220.0.284    2016-01-220.0.285    2016-01-230.0.286    2016-01-250.0.287    2016-01-250.0.288    2016-01-260.0.289    2016-01-270.0.290    2016-01-280.0.291    2016-01-290.0.292    2016-01-300.0.295    2016-02-010.0.296    2016-02-020.0.297    2016-02-030.0.297    2016-02-040.0.298    2016-02-040.0.299    2016-02-060.0.300    2016-02-070.0.301    2016-02-090.0.302    2016-02-100.0.304    2016-02-150.0.305    2016-02-170.0.307    2016-02-220.0.308    2016-02-250.0.309    2016-02-260.0.311    2016-02-260.0.312    2016-02-270.0.313    2016-02-280.0.314    2016-02-290.0.315    2016-03-010.0.316    2016-03-020.0.317    2016-03-020.0.318    2016-03-040.0.319    2016-03-040.0.320    2016-03-050.0.321    2016-03-060.0.322    2016-03-070.0.323    2016-03-090.0.324    2016-03-090.0.325    2016-03-100.0.326    2016-03-110.0.327    2016-03-120.0.328    2016-03-140.0.329    2016-03-150.0.330    2016-03-160.0.331    2016-03-160.0.332    2016-03-170.0.333    2016-03-190.0.334    2016-03-190.0.335    2016-03-200.0.336    2016-03-210.0.337    2016-03-210.0.338    2016-03-220.0.339    2016-03-220.0.340    2016-03-240.0.341    2016-03-250.0.342    2016-03-250.0.343    2016-03-260.0.344    2016-03-280.0.345    2016-03-290.0.346    2016-03-290.0.347    2016-03-300.0.349    2016-04-010.0.350    2016-04-020.0.351    2016-04-040.0.352    2016-04-060.0.353    2016-04-060.0.354    2016-04-070.0.357    2016-04-110.0.358    2016-04-130.0.359    2016-04-140.0.360    2016-04-150.0.361    2016-04-150.0.362    2016-04-160.0.363    2016-04-180.0.364    2016-04-180.0.365    2016-04-190.0.366    2016-04-200.0.367    2016-04-210.0.368    2016-04-220.0.369    2016-04-230.0.370    2016-04-240.0.371    2016-04-250.0.371    2016-04-260.0.372    2016-04-270.0.373    2016-04-280.0.374    2016-05-010.0.375    2016-05-020.0.376    2016-05-030.0.377    2016-05-040.0.378    2016-05-050.0.379    2016-05-070.0.380    2016-05-080.0.381    2016-05-080.0.381    2016-05-080.0.382    2016-05-100.0.383    2016-05-100.0.384    2016-05-110.0.385    2016-05-120.0.386    2016-05-130.0.387    2016-05-150.0.388    2016-05-150.0.389    2016-05-160.0.390    2016-05-180.0.391    2016-05-180.0.392    2016-05-190.0.393    2016-05-210.0.394    2016-05-210.0.395    2016-05-230.0.396    2016-05-230.0.397    2016-05-260.0.398    2016-05-280.0.399    2016-06-050.0.400    2016-06-050.0.401    2016-06-160.0.402    2016-06-170.0.403    2016-06-170.0.404    2016-06-200.0.405    2016-06-210.0.407    2016-06-240.0.408    2016-06-270.0.409    2016-06-280.0.410    2016-06-290.0.411    2016-06-290.0.411    2016-08-070.0.411    2016-08-120.0.411    2016-08-140.0.411    2016-08-240.0.416    2016-08-290.0.417    2016-08-310.0.418    2016-09-010.0.419    2016-09-020.0.420    2016-09-180.0.421    2016-10-260.0.423    2016-11-020.0.424    2016-11-130.0.425    2016-11-140.0.426    2016-11-170.0.427    2016-11-200.0.428    2016-11-210.0.429    2016-11-220.0.430    2016-11-230.0.431    2016-11-240.0.432    2016-11-250.0.433    2016-11-260.0.434    2016-11-270.0.435    2016-11-300.0.437    2016-12-050.0.438    2016-12-070.0.439    2016-12-080.0.440    2016-12-090.0.441    2016-12-100.0.442    2016-12-110.0.443    2016-12-130.0.444    2016-12-140.0.445    2016-12-170.0.446    2016-12-180.0.447    2016-12-190.0.448    2016-12-200.0.449    2016-12-210.0.450    2016-12-240.0.451    2016-12-250.0.452    2016-12-260.0.452    2016-12-260.0.453    2016-12-270.0.454    2016-12-280.0.455    2016-12-290.0.456    2016-12-300.0.457    2017-01-020.0.458    2017-01-020.0.459    2017-01-040.0.460    2017-01-060.0.461    2017-01-060.0.462    2017-01-070.0.463    2017-01-090.0.464    2017-01-090.0.465    2017-01-100.0.466    2017-01-110.0.467    2017-01-120.0.468    2017-01-140.0.469    2017-01-150.0.470    2017-01-170.0.471    2017-01-190.0.472    2017-01-200.0.473    2017-01-250.0.474    2017-01-260.0.475    2017-01-270.0.476    2017-01-290.0.477    2017-01-290.0.478    2017-01-300.0.479    2017-02-010.0.480    2017-02-030.0.481    2017-02-040.0.482    2017-02-080.0.483    2017-02-180.0.484    2017-02-210.0.484    2017-02-220.0.485    2017-02-220.0.486    2017-02-230.0.487    2017-02-240.0.488    2017-03-080.0.489    2017-05-010.0.490    2017-05-010.0.491    2017-05-020.0.492    2017-05-030.0.493    2017-05-09
